DBA,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,GRADE
ISLAND,1305,MADISON AVENUE,10128,2129961200,Seafood,A
AMANO SUSHI,50,ELDRIDGE ST,10002,2123010723,Japanese,A
THE HOUSE IN GRAMERCY PARK,121,E. 17th ST.,10003,2123532121,American,A
SUSHI CHOSI,77,IRVING PLACE,10003,2124201419,Japanese,A
GRK FRESH GREEK,111,FULTON STREET,10038,2123852010,Greek,A
POTBELLY SANDWICH SHOP,333,PARK AVENUE SOUTH,10010,6462894212,Sandwiches/Salads/Mixed Buffet,A
HAKUBAI and JAZZ at KITANO,66,PARK AVENUE,10016,2128857000,Japanese,A
BUCA/BUCHETTA,201,WEST  103 STREET,10025,2125318730,Pizza/Italian,A
LA COLOMBE,7,BRYANT PARK,10018,2679740928,Caf̩/Coffee/Tea,A
POKE CHAN,100,WILLIAM ST,10038,6468611517,Hawaiian,A
BURGER KING,1419,ST NICHOLAS AVENUE,10033,2129274787,Hamburgers,A
DORRIAN'S RED HAND RESTAURANT,1616,2 AVENUE,10028,2127726660,Irish,A
RARE BAR & GRILL,303,LEXINGTON AVENUE,10016,2124811999,American,A
HUNTER COLLEGE FOOD COURT,695,PARK AVENUE,10065,2127724281,American,A
CAFE BISTRO,312,WEST   34 STREET,10001,2122397050,American,A
OISHI VILLAGE SUSHI,199,2ND AVE,10003,2123889888,Japanese,A
BURKE & WILLS/MANHATTAN CRICKET CLUB,226,W 79TH ST,10024,6468239251,Australian,A
JEKYLL AND HYDE,91,7TH AVE S,10014,2129897701,American,A
CAMPAGNA QUATTRO GATTI,205,EAST   81 STREET,10028,2125701073,Italian,A
JAKE'S SALOON,875,10 AVENUE,10019,2123333100,American,A
NYU GCASL KITCHEN,238,THOMPSON STREET,10012,2129984872,American,A
THE HOG PIT NEW YORK CITY,37,WEST   26 STREET,10010,2122134871,Barbecue,A
JUST SALAD,315,PARK AVE S,10010,3474820476,Salads,A
CHIPOTLE MEXICAN GRILL,680,6 AVENUE,10010,2122063781,Tex-Mex,A
TOKYO BAY JAPANESE RESTAURANT,183,DUANE STREET,10013,2124318666,Japanese,A
CREDIT AGRICOLE-CBI EXECUTIVE ROOM,1301,AVENUE OF THE AMERICAS,10019,2122617104,French,A
METROGRAPH,7,LUDLOW ST,10002,2126600312,American,A
