Company Name,Subindustry,Sub Subindustry,Phone,Location 1,Website
Europa Cafe,Café / Deli,,212-239-0160,"3 Times Sq
(40.756376, -73.986713)",www.euorpacafe.com
Ranch 1,Quick Serve,Fast Food,2129561111,"832 Eighth Ave
(40.762444, -73.985983)",
Sosa Borella,Full Serve,Argentinian,(212) 262-8282,"832 Eighth Ave
(40.762444, -73.985983)",http://www.sosaborella.com/
Mi Nidito (Cantina Mexicana),Full Serve,Mexican,(212) 265-0022,"852 Eighth Ave
(40.763128, -73.985481)",
Starbucks,Coffee,,2122467699,"871-879 Eighth Ave, Suite# 871
(40.763644, -73.985134)",www.starbucks.com
China Gourmet,Full Serve,Chinese,(212) 246-8181,"877 Eighth Ave
(40.763789, -73.985026)",
Rino Trattoria,Full Serve,Italian,(212) 307-0666,"877 Eighth Ave
(40.763789, -73.985026)",www.rinotrattoria.com
Laxmi Corp. Newsstand,Café / Deli,,,"879 Eighth Ave
(40.763839, -73.98499)",
Caffe Cielo,Full Serve,Italian,212 246-9555,"881 Eighth Ave
(40.763885, -73.984954)",
Cosmic Diner,Full Serve,Diner,212 333-5888,"888 Eighth Ave
(40.764072, -73.984791)",
Brasserie Athena,Full Serve,French,(212) 399-1100,"300 W 46th St
(40.759963, -73.988355)",
The House of Brews,Full Serve,American,,"302 W 51st St
(40.763037, -73.985958)",http://www.houseofbrewsny.com/
Seasons,Full Serve,American,(212) 586-2257,"888 Eighth Ave
(40.764072, -73.984791)",
World of Nuts and Ice Cream,Quick Serve,Dessert,(212) 245-0398,"888 Eighth Ave
(40.764072, -73.984791)",www.worldofnutsandicecream.com
Green Emporium,Café / Deli,,2124591924,"791 Eighth Ave
(40.761133, -73.986958)",
Rosie O'Grady's Saloon,Full Serve,American,212-582-2975,"800 Seventh Ave
(40.762441, -73.982294)",
"810 Deli, Inc",Café / Deli,,2125414136,"810 Seventh Ave
(40.762639, -73.982146)",www.810deli.com
Deli / Café,Café / Deli,,(212) 541-4136,"810 Seventh Ave
(40.762639, -73.982146)",http://www.810deli.com/
Ichi Masa Japanese Sushi,Full Serve,Japanese,(212) 315-4800,"825 Eighth Ave
(40.762074, -73.986275)",http://ichimasany.com/
Starbucks,Coffee,,2124622020,"825 Eighth Ave
(40.762074, -73.986275)",www.starbucks.com
